name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
HK636,0.69897,0.75,-0.80103,2.19897,0.682218,0.710998,-0.739777,2.10421
HK637,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK638,0.69897,0.75,-0.80103,2.19897,0.647918,0.744853,-0.841788,2.13762
HK639,0.69897,0.75,-0.80103,2.19897,0.676964,0.747953,-0.818942,2.17287
HK640,0.69897,0.75,-0.80103,2.19897,0.673786,0.736816,-0.799847,2.14742
HK641,0.69897,0.75,-0.80103,2.19897,0.660486,0.747805,-0.835125,2.1561
HK642,0.69897,0.75,-0.80103,2.19897,0.711877,0.747845,-0.783813,2.20757
HK643,0.69897,0.75,-0.80103,2.19897,0.662707,0.748872,-0.835038,2.16045
HK644,0.69897,0.75,-0.80103,2.19897,0.731634,0.747822,-0.764011,2.22728
HK645,0.69897,0.75,-0.80103,2.19897,0.674926,0.748443,-0.821959,2.17181
HK646,0.69897,0.75,-0.80103,2.19897,0.62489,0.745459,-0.866028,2.11581
HK647,0.69897,0.75,-0.80103,2.19897,0.701328,0.743119,-0.78491,2.18757
HK648,0.69897,0.75,-0.80103,2.19897,0.689131,0.746912,-0.804692,2.18295
HK649,0.69897,0.75,-0.80103,2.19897,0.634392,0.74477,-0.855148,2.12393
HK650,0.69897,0.75,-0.80103,2.19897,0.652263,0.747336,-0.842409,2.14693
HK651,0.69897,0.75,-0.80103,2.19897,0.668536,0.746969,-0.825403,2.16247
HK652,0.69897,0.75,-0.80103,2.19897,0.66483,0.745499,-0.826168,2.15583
HK653,0.69897,0.75,-0.80103,2.19897,0.634397,0.740636,-0.846875,2.11567
HK700,0.69897,0.75,-0.80103,2.19897,0.720156,0.738583,-0.75701,2.19732
HK701,0.69897,0.75,-0.80103,2.19897,0.470103,0.742943,-1.01578,1.95599
HK702,0.69897,0.75,-0.80103,2.19897,0.424966,0.743717,-1.06247,1.9124
HK703,0.69897,0.75,-0.80103,2.19897,0.637422,0.734631,-0.831841,2.10668
HK704,0.69897,0.75,-0.80103,2.19897,0.491384,0.736424,-0.981463,1.96423
HK705,0.69897,0.75,-0.80103,2.19897,0.381227,0.742506,-1.10379,1.86624
HK706,0.69897,0.75,-0.80103,2.19897,0.716737,0.747499,-0.77826,2.21173
HK707,0.69897,0.75,-0.80103,2.19897,0.719909,0.735478,-0.751047,2.19087
HK708,0.69897,0.75,-0.80103,2.19897,0.716711,0.746628,-0.776544,2.20997
HK709,0.69897,0.75,-0.80103,2.19897,0.77067,0.737874,-0.705078,2.24642
HK710,0.69897,0.75,-0.80103,2.19897,0.563048,0.727117,-0.891185,2.01728
HK711,0.69897,0.75,-0.80103,2.19897,0.690968,0.74566,-0.800351,2.18229
HK712,0.69897,0.75,-0.80103,2.19897,0.731649,0.741156,-0.750664,2.21396
HK713,0.69897,0.75,-0.80103,2.19897,0.581816,0.729361,-0.876906,2.04054
HK714,0.69897,0.75,-0.80103,2.19897,0.666633,0.745753,-0.824874,2.15814
HK715,0.69897,0.75,-0.80103,2.19897,0.645116,0.737135,-0.829154,2.11939
HK716,0.69897,0.75,-0.80103,2.19897,0.614919,0.732588,-0.850258,2.0801
HK717,0.69897,0.75,-0.80103,2.19897,0.683982,0.745637,-0.807291,2.17526
HK718,0.69897,0.75,-0.80103,2.19897,0.621715,0.746984,-0.872252,2.11568
HK719,0.69897,0.75,-0.80103,2.19897,0.688372,0.734254,-0.780137,2.15688
HK720,0.69897,0.75,-0.80103,2.19897,0.758237,0.748166,-0.738095,2.25457
HK721,0.69897,0.75,-0.80103,2.19897,0.667572,0.747227,-0.826883,2.16203
HK722,0.69897,0.75,-0.80103,2.19897,0.749539,0.746217,-0.742895,2.24197
HK723,0.69897,0.75,-0.80103,2.19897,0.676724,0.747844,-0.818964,2.17241
HK724,0.69897,0.75,-0.80103,2.19897,0.631117,0.746537,-0.861958,2.12419
HK725,0.69897,0.75,-0.80103,2.19897,0.722214,0.748561,-0.774908,2.21934
HK726,0.69897,0.75,-0.80103,2.19897,0.679845,0.746931,-0.814017,2.17371
HK727,0.69897,0.75,-0.80103,2.19897,0.702282,0.745633,-0.788984,2.19355
HK728,0.69897,0.75,-0.80103,2.19897,0.672408,0.746786,-0.821165,2.16598
HK729,0.69897,0.75,-0.80103,2.19897,0.776647,0.748183,-0.719719,2.27301
HK730,0.69897,0.75,-0.80103,2.19897,0.681205,0.747562,-0.813919,2.17633
HK731,0.69897,0.75,-0.80103,2.19897,0.793882,0.743567,-0.693251,2.28102
HK732,0.69897,0.75,-0.80103,2.19897,0.669075,0.747987,-0.826899,2.16505
HK733,0.69897,0.75,-0.80103,2.19897,0.68757,0.747842,-0.808114,2.18325
HK734,0.69897,0.75,-0.80103,2.19897,0.684143,0.747912,-0.811682,2.17997
HK735,0.69897,0.75,-0.80103,2.19897,0.712244,0.741222,-0.7702,2.19469
HK736,0.69897,0.75,-0.80103,2.19897,0.630741,0.746338,-0.861935,2.12342
HK737,0.69897,0.75,-0.80103,2.19897,0.668518,0.748364,-0.828211,2.16525
HK738,0.69897,0.75,-0.80103,2.19897,0.762835,0.747644,-0.732453,2.25812
HK739,0.69897,0.75,-0.80103,2.19897,0.743572,0.747869,-0.752166,2.23931
HK740,0.69897,0.75,-0.80103,2.19897,0.658546,0.747187,-0.835828,2.15292
HK741,0.69897,0.75,-0.80103,2.19897,0.612096,0.745377,-0.878659,2.10285
HK742,0.69897,0.75,-0.80103,2.19897,0.652472,0.745627,-0.838783,2.14373
HK743,0.69897,0.75,-0.80103,2.19897,0.75395,0.744193,-0.734436,2.24234
HK744,0.69897,0.75,-0.80103,2.19897,0.779658,0.741668,-0.703679,2.26299
HK800,0.69897,0.75,-0.80103,2.19897,0.709611,0.747701,-0.785791,2.20501
HK801,0.69897,0.75,-0.80103,2.19897,0.595568,0.746664,-0.89776,2.0889
HK802,0.69897,0.75,-0.80103,2.19897,0.66383,0.74844,-0.833049,2.16071
HK803,0.69897,0.75,-0.80103,2.19897,0.715551,0.747411,-0.779272,2.21037
HK804,0.69897,0.75,-0.80103,2.19897,0.653842,0.747967,-0.842091,2.14978
HK805,0.69897,0.75,-0.80103,2.19897,0.622344,0.747639,-0.872935,2.11762
HK806,0.69897,0.75,-0.80103,2.19897,0.682557,0.746888,-0.811218,2.17633
HK807,0.69897,0.75,-0.80103,2.19897,0.700933,0.747532,-0.79413,2.196
HK808,0.69897,0.75,-0.80103,2.19897,0.706619,0.747964,-0.789308,2.20255
HK809,0.69897,0.75,-0.80103,2.19897,0.600008,0.74553,-0.891051,2.09107
HK810,0.69897,0.75,-0.80103,2.19897,0.694533,0.74643,-0.798327,2.18739
HK811,0.69897,0.75,-0.80103,2.19897,0.681156,0.747661,-0.814166,2.17648
HK812,0.69897,0.75,-0.80103,2.19897,0.720937,0.747864,-0.77479,2.21666
HK813,0.69897,0.75,-0.80103,2.19897,0.639496,0.748568,-0.85764,2.13663
HK814,0.69897,0.75,-0.80103,2.19897,0.637677,0.746699,-0.85572,2.13107
HK815,0.69897,0.75,-0.80103,2.19897,0.656792,0.747297,-0.837803,2.15139
HK816,0.69897,0.75,-0.80103,2.19897,0.666805,0.748544,-0.830282,2.16389
HK817,0.69897,0.75,-0.80103,2.19897,0.670016,0.747836,-0.825657,2.16569
HK818,0.69897,0.75,-0.80103,2.19897,0.738544,0.747225,-0.755906,2.23299
HK819,0.69897,0.75,-0.80103,2.19897,0.657402,0.747909,-0.838416,2.15322
HK820,0.69897,0.75,-0.80103,2.19897,0.747672,0.742605,-0.737537,2.23288
HK821,0.69897,0.75,-0.80103,2.19897,0.638254,0.745719,-0.853183,2.12969
HK822,0.69897,0.75,-0.80103,2.19897,0.687869,0.74785,-0.807831,2.18357
HK823,0.69897,0.75,-0.80103,2.19897,0.673809,0.746731,-0.819652,2.16727
HK824,0.69897,0.75,-0.80103,2.19897,0.589487,0.74678,-0.904073,2.08305
HK825,0.69897,0.75,-0.80103,2.19897,0.689369,0.748008,-0.806648,2.18538
HK826,0.69897,0.75,-0.80103,2.19897,0.758184,0.748083,-0.737981,2.25435
HK827,0.69897,0.75,-0.80103,2.19897,0.653925,0.747402,-0.84088,2.14873
HK828,0.69897,0.75,-0.80103,2.19897,0.675421,0.747775,-0.820129,2.17097
HK829,0.69897,0.75,-0.80103,2.19897,0.668284,0.747775,-0.827267,2.16383
HK830,0.69897,0.75,-0.80103,2.19897,0.70282,0.747922,-0.793025,2.19866
HK831,0.69897,0.75,-0.80103,2.19897,0.728296,0.748105,-0.767915,2.22451
HK832,0.69897,0.75,-0.80103,2.19897,0.646876,0.748098,-0.84932,2.14307
HK833,0.69897,0.75,-0.80103,2.19897,0.662633,0.747859,-0.833085,2.15835
HK834,0.69897,0.75,-0.80103,2.19897,0.690475,0.748315,-0.806155,2.18711
HK835,0.69897,0.75,-0.80103,2.19897,0.693382,0.746512,-0.799642,2.18641
HK836,0.69897,0.75,-0.80103,2.19897,0.704754,0.747457,-0.790159,2.19967
HK837,0.69897,0.75,-0.80103,2.19897,0.668744,0.747103,-0.825461,2.16295
HK838,0.69897,0.75,-0.80103,2.19897,0.714393,0.748043,-0.781693,2.21048
HK839,0.69897,0.75,-0.80103,2.19897,0.654962,0.747804,-0.840645,2.15057
HK840,0.69897,0.75,-0.80103,2.19897,0.768773,0.747477,-0.72618,2.26373
HK841,0.69897,0.75,-0.80103,2.19897,0.684347,0.747172,-0.809998,2.17869
HK842,0.69897,0.75,-0.80103,2.19897,0.661198,0.748011,-0.834824,2.15722
HK843,0.69897,0.75,-0.80103,2.19897,0.760464,0.747521,-0.734577,2.25551
HK844,0.69897,0.75,-0.80103,2.19897,0.786081,0.743954,-0.701828,2.27399
